iter	Passed	Remaining
973	17810	475
974	17833	457
975	17856	439
976	17873	420
977	17890	402
978	17907	384
979	17929	365
980	17943	347
981	17960	329
982	17977	310
983	17994	292
984	18012	274
985	18030	256
986	18048	237
987	18070	219
988	18093	201
989	18116	182
990	18135	164
991	18154	146
992	18171	128
993	18189	109
994	18210	91
995	18228	73
996	18246	54
997	18263	36
998	18279	18
999	18292	0
